row,spec,estimate,se,pvalue,N
1,1,.1141958464944086,.043680172,.0089393873,10195
2,1,.1104185789849915,.029912384,.00022302302,10195
3,1,.030861461521676,.020993045,.14154002,10195
4,1,.0439481350400038,.024573177,.073701888,10195
1,2,.1142170445001873,.043675572,.0089195017,10195
2,2,.1104099757242232,.029906863,.00022267798,10195
3,2,.0308540124831079,.020993605,.14164674,10195
4,2,.043966042508866,.024588365,.073762596,10195
1,3,.114167059022821,.04368725,.0089677526,10195
2,3,.1104587691960018,.029917751,.00022242632,10195
3,3,.0309505330557118,.020956349,.13970116,10195
4,3,.0442207598318735,.024522146,.071341284,10195
1,4,.1202763826344126,.043895192,.0061424049,10185
2,4,.1123376696267555,.03099272,.00028935637,10185
3,4,.0348421080469633,.02082954,.094381288,10185
4,4,.0433436458250407,.024946788,.082308851,10185
