row,col,estimate,se,pvalue,N,r2
1,1.0,0.0766644943,0.03168502,0.02017649,2912,0.155070754775205
2,1.0,0.1084640326,0.03635702,0.00484109,2912,0.155070754775205
3,1.0,0.0818135118,0.04037866,0.04945361,2912,0.155070754775205
4,1.0,0.31470762290536225,0.09254929,0.0015372065,2912,0.155070754775205
5,1.0,0.4869385055833866,0.09061146,3.5733008e-06,2912,0.155070754775205
6,1.0,0.5130074303607963,0.10124289,9.558451e-06,2912,0.155070754775205
7,1.0,-0.012335846576174002,0.019255228,0.5254041,2912,0.155070754775205
8,1.0,0.10884220840087042,0.025631096,0.00012564941,2912,0.155070754775205
1,2.0,0.0524862854,0.0337057,0.12730236,5725,0.0335908601368679
2,2.0,0.029851618,0.03731735,0.4284712,5725,0.0335908601368679
3,2.0,0.0451165782,0.04277778,0.2979039,5725,0.0335908601368679
4,2.0,0.2309130169727922,0.08821589,0.01244133,5725,0.0335908601368679
5,2.0,0.40342570782577664,0.081472956,1.3810747e-05,5725,0.0335908601368679
6,2.0,0.43691125355131005,0.07737533,1.4826619e-06,5725,0.0335908601368679
7,2.0,0.0739986412621281,0.025633728,0.0062484136,5725,0.0335908601368679
9,2.0,-0.04880669934860282,0.013712523,0.000976315,5725,0.0335908601368679
10,2.0,-0.09618790690888916,0.018825898,8.351349e-06,5725,0.0335908601368679
