row,spec,estimate,se,pvalue,N
1,1,-.2698207142002977,.073663451,.00024939096,10195
2,1,-.2882438991507348,.046501879,5.6988270e-10,10195
3,1,-.004997458323269,.011628207,.66736269,10195
4,1,-.123854243947672,.014404913,8.1078043e-18,10195
5,1,.2648232558770287,.07461115,.00038614075,10195
6,1,.1643896552030628,.04866036,.00072933506,10195
1,2,-.2693509139368317,.073512204,.00024827771,10195
2,2,-.2878550233384467,.046494614,5.9727628e-10,10195
3,2,-.0047532895761697,.011574774,.68132234,10195
4,2,-.1234057428902999,.014450992,1.3468280e-17,10195
5,2,.264597624360662,.07447134,.00038084615,10195
6,2,.1644492804481468,.048663534,.00072667433,10195
1,3,-.2667705487323024,.071422145,.00018762301,10195
2,3,-.2872467834706947,.044491637,1.0736658e-10,10195
3,3,-.0008351563035482,.0098823206,.93265086,10195
4,3,-.10933766049008,.013218003,1.3186927e-16,10195
5,3,.2659353924287542,.072080337,.00022475662,10195
6,3,.1779091229806147,.046609625,.00013508198,10195
1,4,-.2700979290992858,.070446216,.00012602411,10185
2,4,-.2901510589659915,.044853393,9.8734118e-11,10185
3,4,.0022373481680815,.0121431,.85381848,10185
4,4,-.1068577719949446,.014880799,6.9245580e-13,10185
5,4,.2723352772673673,.071857326,.00015068098,10185
6,4,.1832932869710469,.04748676,.00011344187,10185
