row,spec,estimate,se,pvalue,N
1,1,.097570263242261,.040333431,.015559318,10195
2,1,.0972815966849377,.025308887,.0001211574,10195
3,1,.0257614501647911,.019083338,.17703374,10195
4,1,.0308402442723623,.024535036,.20875798,10195
1,2,.0975923349065311,.040332798,.015534306,10195
2,2,.0972773097689097,.025303533,.00012083978,10195
3,2,.0257572846498408,.019083617,.17711012,10195
4,2,.0308648902509307,.024539996,.20848647,10195
1,3,.0976535718611994,.040337525,.015481652,10195
2,3,.0974401203117787,.025322169,.00011907818,10195
3,3,.0260830057259533,.018972609,.16920224,10195
4,3,.0317350159413062,.024415754,.19367768,10195
1,4,.1042060870324308,.040702842,.010462174,10185
2,4,.1004136825545939,.026655095,.00016512323,10185
3,4,.0293389526526847,.0193146,.12876152,10185
4,4,.0302029415814094,.025229426,.23125529,10185
