section,item,estimate,std_error,p_value,observations,notes
sample,raw participant-period records,10220.0,,,,
sample,post-exit exclusions,25.0,,,,
sample,final participant-period sample,10195.0,,,,
sample,personal-controls sample,10185.0,,,,
sample,complete market-periods,1435.0,,,,
sample,eligible appeal participant-periods,2912.0,,,,
sample,appeal opportunities,5725.0,,,,
means,"DA, no appeals truth-telling",0.2881861627101898,,,,
means,"DA, no appeals assigned rank",2.7410500049591064,,,,
means,"DA, no appeals welfare points",6.2947492599487305,,,,
means,"DA, strict appeals truth-telling",0.31904762983322144,,,,
means,"DA, strict appeals assigned rank",2.7386903762817383,,,,
means,"DA, strict appeals welfare points",6.30654764175415,,,,
means,"DA, probabilistic appeals truth-telling",0.33213430643081665,,,,
means,"DA, probabilistic appeals assigned rank",2.605515480041504,,,,
means,"DA, probabilistic appeals welfare points",6.972422122955322,,,,
means,"IA, no appeals truth-telling",0.2780429720878601,,,,
means,"IA, no appeals assigned rank",2.328758955001831,,,,
means,"IA, no appeals welfare points",8.356204986572266,,,,
means,"IA, strict appeals truth-telling",0.3922387957572937,,,,
means,"IA, strict appeals assigned rank",2.0591044425964355,,,,
means,"IA, strict appeals welfare points",9.704477310180664,,,,
means,"IA, probabilistic appeals truth-telling",0.38846153020858765,,,,
means,"IA, probabilistic appeals assigned rank",2.0406594276428223,,,,
means,"IA, probabilistic appeals welfare points",9.796703338623047,,,,
table2,"IA strict, specification 1",0.1142,0.0437,0.009,10195.0,
table2,"IA strict, specification 2",0.1142,0.0437,0.009,10195.0,
table2,"IA strict, specification 3",0.1142,0.0437,0.009,10195.0,
table2,"IA strict, specification 4",0.1203,0.0439,0.0061,10185.0,
table2,"IA probabilistic, specification 1",0.1104,0.0299,0.0002,10195.0,
table2,"IA probabilistic, specification 2",0.1104,0.0299,0.0002,10195.0,
table2,"IA probabilistic, specification 3",0.1105,0.0299,0.0002,10195.0,
table2,"IA probabilistic, specification 4",0.1123,0.031,0.0003,10185.0,
table2,"DA strict, specification 1",0.0309,0.021,0.141,10195.0,
table2,"DA strict, specification 2",0.0309,0.021,0.141,10195.0,
table2,"DA strict, specification 3",0.031,0.021,0.14,10195.0,
table2,"DA strict, specification 4",0.0348,0.0209,0.096,10185.0,
table2,"DA probabilistic, specification 1",0.0439,0.0246,0.074,10195.0,
table2,"DA probabilistic, specification 2",0.044,0.0246,0.074,10195.0,
table2,"DA probabilistic, specification 3",0.0442,0.0246,0.072,10195.0,
table2,"DA probabilistic, specification 4",0.0433,0.025,0.083,10185.0,
table3,"IA mechanism, column 1",0.1085,0.0364,0.0038,2912.0,
table3,"IA mechanism, column 2",0.02985,0.03732,0.428,5725.0,
table3,"probabilistic rule, column 1",0.0767,0.0317,0.0156,2912.0,
table3,"probabilistic rule, column 2",0.05249,0.03371,0.119,5725.0,
table3,"IA x probabilistic rule, column 1",-0.1033,0.0445,0.0203,2912.0,
table3,"IA x probabilistic rule, column 2",-0.03722,0.04974,0.454,5725.0,
